player_name,team_2026
Aaron Finch,Royal Challengers Bengaluru
Aaron Hardie,Punjab Kings
Abdul P A,Rajasthan Royals
Abdul Samad,Lucknow Super Giants
Abhijeet Tomar,Kolkata Knight Riders
Abhimanyu Mithun,Sunrisers Hyderabad
Abhinandan Singh,Royal Challengers Bengaluru
Abhinav Manohar,Sunrisers Hyderabad
Abhinav Sadarangani,Gujarat Titans
Abhishek Nayar,Rajasthan Royals
Abhishek Sharma,Sunrisers Hyderabad
Abid Mushtaq,Rajasthan Royals
Abu Nechim Ahmed,Royal Challengers Bengaluru
Adam Milne,Rajasthan Royals
Adam Zampa,Sunrisers Hyderabad
Adil Rashid,Sunrisers Hyderabad
Aditya Garhwal,Kolkata Knight Riders
Aditya Tare,Mumbai Indians
Agnivesh Ayachi,Kings XI Punjab
Aiden Blizzard,Mumbai Indians
Aiden Markram,Lucknow Super Giants
Ajantha Mendis,Pune Warriors India
Ajay Mandal,Delhi Capitals
Ajinkya Rahane,Kolkata Knight Riders
Akash  Deep,Royal Challengers Bangalore
Akash Deep,Kolkata Knight Riders
Akash Madhwal,Rajasthan Royals
Akash Singh,Lucknow Super Giants
Akash Vashisht,Rajasthan Royals
Akeal Hosein,Chennai Super Kings
Akhil Arvind Herwadkar,Delhi Daredevils
Akila Dananjaya,Chennai Super Kings
Akila Dhananjaya,Mumbai Indians
Akshar Rajesh Patel,Kings XI Punjab
Akshat Raghuwanshi,Lucknow Super Giants
Akshay Karnewar,Royal Challengers Bengaluru
Akshay Wakhare,Mumbai Indians
Akshdeep Nath,Royal Challengers Bengaluru
Albie Morkel,Delhi Daredevils
Alex Carey,Delhi Capitals
Alex Hales,Kolkata Knight Riders
Allah  Ghazanfar,Mumbai Indians
Alzarri Joseph,Royal Challengers Bengaluru
Aman Khan,Chennai Super Kings
Aman Rao Perala,Rajasthan Royals
Ambati Rayudu,Chennai Super Kings
Amit Kumar,Sunrisers Hyderabad
Amit Mishra,Lucknow Super Giants
Amit Paunikar,Sunrisers Hyderabad
Andre Russell,Kolkata Knight Riders
Andre Siddarth,Chennai Super Kings
Andrew Tye,Rajasthan Royals
Aneeshwar Gautam,Royal Challengers Bangalore
Angelo Mathews,Delhi Daredevils
Angkrish Raghuvanshi,Kolkata Knight Riders
Aniket Choudhary,Royal Challengers Bengaluru
Aniket Verma,Sunrisers Hyderabad
Anirudha Ashok Joshi,Rajasthan Royals
Ankeet Bawane,Delhi Daredevils
Ankit Nagendra Sharma,Rajasthan Royals
Ankit Sharma,Rajasthan Royals
Ankit Singh Rajpoot,Lucknow Super Giants
Ankush Bains,Delhi Capitals
Anmolpreet Singh,Sunrisers Hyderabad
Anrich Nortje,Lucknow Super Giants
Ansh Patel,Punjab Kings
Anshul Kamboj,Chennai Super Kings
Anuj Rawat,Gujarat Titans
Anukul Roy,Kolkata Knight Riders
Anunay Singh,Rajasthan Royals
Anureet Singh,Rajasthan Royals
Apoorv Vijay Wankhade,Kolkata Knight Riders
Arjun  Tendulkar,Mumbai Indians
Arjun Tendulkar,Mumbai Indians
Armaan Jaffer,Kings XI Punjab
Arshdeep Singh,Punjab Kings
Arshin Kulkarni,Lucknow Super Giants
Aryaman Vikram Birla,Rajasthan Royals
Aryan Juyal,Lucknow Super Giants
Asela Gunarathna,Mumbai Indians
Ashish Nehra,Sunrisers Hyderabad
Ashish Reddy,Sunrisers Hyderabad
Ashok Dinda,Rising Pune Supergiant
Ashok Sharma,Gujarat Titans
Ashton Turner,Lucknow Super Giants
Ashutosh Sharma,Delhi Capitals
Ashwani Kumar,Mumbai Indians
Ashwin Hebbar,Delhi Capitals
Asif K M,Chennai Super Kings
Atharva Ankolekar,Mumbai Indians
Atharva Taide,Sunrisers Hyderabad
Auqib Dar,Delhi Capitals
Avanish Rao Aravelly,Chennai Super Kings
Avesh Khan,Lucknow Super Giants
Avinash Singh,Royal Challengers Bangalore
Axar Rajesh Patel,Delhi Capitals
Ayush Badoni,Lucknow Super Giants
Azmatullah Omarzai,Punjab Kings
B. Sai Sudharsan,Gujarat Titans
Baba Aparajith,Rising Pune Supergiant
Baba Indrajith,Kolkata Knight Riders
Baltej Dhanda,Punjab Kings
Bandaru Ayyappa,Delhi Capitals
Barinder Singh Saran,Rajasthan Royals
Barinder Singh Sran,Mumbai Indians
Basil Thampi,Mumbai Indians
Ben Cutting,Kolkata Knight Riders
Ben Duckett,Delhi Capitals
Ben Dunk,Mumbai Indians
Ben Dwarshuis,Punjab Kings
Ben Hilfenhaus,Chennai Super Kings
Ben Laughlin,Rajasthan Royals
Ben Stokes,Chennai Super Kings
Benjamin Stokes,Rajasthan Royals
Benny Howell,Punjab Kings
Beuran Hendricks,Kings XI Punjab
Bevan John Jacobs,Mumbai Indians
